 Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Boston Celtics,28.3,60,16,61,15,11.72,-0.40,11.33,123.9,111.9,+12.0,96.9,.230,.472,.610,,.579,10.7,25.2,.186,,.523,10.5,76.3,.149,,TD Garden,689616,19156
2,Minnesota Timberwolves,27.2,53,23,54,22,7.17,-0.13,7.05,116.9,109.5,+7.4,96.1,.269,.383,.594,,.560,12.5,24.1,.209,,.512,12.3,76.0,.196,,Target Center,666888,17550
3,Oklahoma City Thunder,23.4,52,24,52,24,6.67,0.04,6.72,120.7,114.0,+6.7,98.6,.240,.383,.608,,.573,10.9,22.1,.199,,.532,13.2,72.4,.205,,Paycom Center,644365,17415
4,Denver Nuggets,27.1,53,24,49,28,4.68,0.11,4.78,120.1,115.2,+4.9,95.1,.226,.349,.586,,.558,10.7,27.3,.173,,.526,10.6,73.7,.196,,Ball Arena,767578,19681
5,New York Knicks,26.4,45,31,49,27,4.55,-0.28,4.27,119.5,114.7,+4.8,94.0,.247,.407,.572,,.538,11.4,31.1,.193,,.543,11.6,75.4,.176,,Madison Square Garden (IV),769261,19725
6,New Orleans Pelicans,26.0,45,31,48,28,4.54,0.10,4.64,117.8,113.1,+4.7,97.6,.266,.369,.589,,.556,11.6,24.9,.204,,.538,12.6,76.5,.189,,Smoothie King Center,655999,17263
7,Los Angeles Clippers,30.5,48,28,46,30,3.33,0.10,3.43,120.6,117.1,+3.5,95.9,.262,.383,.602,,.564,11.5,25.4,.216,,.544,11.4,73.7,.181,,Crypto.com Arena,679932,18887
8,Milwaukee Bucks,30.2,47,29,45,31,3.24,-0.45,2.79,120.2,116.9,+3.3,99.2,.273,.431,.602,,.569,10.9,22.9,.210,,.538,10.2,76.0,.188,,Fiserv Forum,670508,17667
9,Phoenix Suns,29.2,45,31,45,31,2.97,-0.37,2.61,118.6,115.5,+3.1,98.0,.274,.375,.605,,.567,13.2,25.8,.220,,.537,10.9,75.1,.178,,Footprint Center,648698,17071
10,Cleveland Cavaliers,26.2,46,31,45,32,2.70,-0.31,2.39,116.9,114.1,+2.8,95.7,.234,.425,.587,,.557,11.7,24.4,.180,,.532,11.6,75.9,.190,,Rocket Mortgage Fieldhouse,734871,19432
11,Dallas Mavericks,26.5,46,30,44,32,2.50,0.16,2.66,119.2,116.7,+2.5,99.3,.251,.441,.593,,.564,10.7,22.9,.190,,.548,11.7,74.1,.186,,American Airlines Center,767881,20207
12,Golden State Warriors,28.4,42,34,43,33,2.42,0.23,2.65,119.5,117.0,+2.5,97.9,.220,.424,.585,,.555,11.9,29.0,.171,,.540,11.0,74.6,.198,,Chase Center,686432,18064
13,Orlando Magic,24.0,45,31,44,32,2.33,-0.52,1.81,113.8,111.4,+2.4,96.6,.290,.370,.579,,.543,13.3,25.8,.218,,.540,13.6,77.6,.204,,Amway Center,735817,18838
14,Philadelphia 76ers,28.4,42,35,44,33,2.23,-0.23,2.01,117.8,115.5,+2.3,96.7,.266,.370,.574,,.531,10.4,25.7,.220,,.540,12.7,73.4,.216,,Wells Fargo Center,761523,20040
15,Indiana Pacers,25.3,43,34,44,33,2.39,-0.26,2.13,121.2,118.9,+2.3,101.1,.223,.380,.603,,.575,11.1,24.4,.173,,.557,11.9,73.3,.226,,Gainbridge Fieldhouse,625732,16467
16,Miami Heat,28.0,42,34,41,35,1.41,-0.56,0.85,115.0,113.5,+1.5,95.4,.258,.392,.576,,.536,11.3,22.6,.210,,.546,12.4,77.2,.173,,Kaseya Center,750883,19760
17,Sacramento Kings,26.4,44,32,41,35,1.25,0.39,1.64,117.9,116.6,+1.3,98.4,.231,.428,.585,,.558,11.5,25.0,.172,,.559,12.2,77.9,.216,,Golden 1 Center,681314,17929
18,Houston Rockets,25.1,38,38,41,35,1.17,0.13,1.31,115.0,113.9,+1.1,98.3,.258,.394,.564,,.528,11.0,25.9,.200,,.534,12.0,75.8,.216,,Toyota Center,683935,17537
19,Los Angeles Lakers,28.0,44,33,40,37,0.45,0.35,0.80,117.0,116.6,+0.4,99.8,.275,.356,.600,,.565,11.9,20.7,.215,,.548,11.0,75.2,.154,,Crypto.com Arena,736954,18919
20,Atlanta Hawks,26.3,36,41,36,41,-1.23,-0.28,-1.51,119.2,120.5,-1.3,99.0,.252,.408,.578,,.541,11.0,28.5,.201,,.568,12.0,73.7,.192,,State Farm Arena,663211,17005
21,Chicago Bulls,28.0,36,40,34,42,-1.62,-0.29,-1.91,115.4,117.1,-1.7,95.6,.238,.362,.567,,.532,10.8,25.4,.189,,.555,12.3,75.4,.194,,United Center,802373,20574
22,Brooklyn Nets,26.2,30,47,32,45,-2.55,-0.02,-2.57,114.5,117.2,-2.7,96.4,.233,.413,.563,,.533,11.3,25.9,.176,,.546,11.4,75.2,.197,,Barclays Center,667095,17555
23,Utah Jazz,25.3,29,47,28,48,-4.54,0.46,-4.08,116.6,121.2,-4.6,98.9,.252,.408,.581,,.540,13.2,28.8,.209,,.568,10.6,75.0,.185,,Delta Center,691828,17739
24,Toronto Raptors,26.0,23,53,24,52,-6.37,0.07,-6.30,113.5,120.0,-6.5,98.2,.236,.369,.566,,.537,11.8,25.2,.177,,.566,11.9,72.8,.169,,Scotiabank Arena,761302,19521
25,San Antonio Spurs,23.0,18,58,23,53,-7.01,0.70,-6.31,110.6,117.5,-6.9,100.8,.222,.398,.563,,.531,13.0,23.4,.174,,.560,11.7,75.6,.177,,Frost Bank Center,687295,18195
26,Memphis Grizzlies,24.5,26,50,22,54,-6.93,0.52,-6.42,108.1,115.2,-7.1,97.5,.242,.436,.546,,.512,13.2,23.9,.184,,.551,13.1,74.2,.193,,FedEx Forum,595890,16553
27,Detroit Pistons,23.8,13,63,19,57,-8.80,0.22,-8.58,110.6,119.4,-8.8,99.6,.250,.358,.564,,.528,13.4,24.7,.197,,.558,10.7,77.5,.225,,Little Caesars Arena,706365,18112
28,Portland Trail Blazers,24.2,20,56,19,57,-8.72,0.61,-8.11,109.0,117.9,-8.9,97.0,.232,.369,.543,,.507,13.3,27.2,.183,,.559,12.9,73.4,.216,,Moda Center,695089,18292
29,Washington Wizards,25.0,15,62,19,58,-9.44,0.02,-9.42,111.4,120.7,-9.3,101.5,.219,.386,.566,,.537,11.9,21.1,.168,,.561,11.6,71.3,.200,,Capital One Arena,654439,16780
30,Charlotte Hornets,25.2,18,58,16,60,-10.50,-0.13,-10.63,109.1,119.9,-10.8,96.9,.211,.388,.555,,.525,12.4,21.8,.164,,.571,12.2,74.5,.193,,Spectrum Center,624045,16422
,League Average,26.6,,,38,38,0.00,0.00,0.00,116.3,116.3,,97.7,.246,.394,.580,,.547,11.8,25.0,.192,,.547,11.8,75.0,.192,,,696904,18281
